Страна;Город;Улица;Дом
Россия;Москва;Ленина;12
Россия;Нижний Новгород;Минина;1
Россия;Питер;Ленина;23
Россия;Москва;Минина;345
Россия;Питер;Разводных мостов;65
Россия;Нижний Новгород;Ленина;325
Россия;Москва;Минина;5
Россия;Питер;Ленина;53
Россия;Нижний Новгород;Разводных мостов;242
Россия;Москва;Минина;53
Россия;Питер;Ленина;522
Россия;Москва;Ленина;22
Германия;Берлин;Машинная;23
Германия;Гамбург;Боатеево;342
Германия;Берлин;Машинная;34
Германия;Гамбург;Боатеево;34
Германия;Мюнхен;Машинная;35
Германия;Берлин;Боатеево;234
Германия;Мюнхен;Машинная;52
Германия;Гамбург;Боатеево;5
Германия;Гамбург;Машинная;25
Германия;Берлин;Боатеево;25
Германия;Мюнхен;Машинная;25
Япония;Иокогама;Аниме;52
Япония;Саппоро;Еда;53
Япония;Саппоро;Аниме;525
Япония;Иокогама;Еда;1
Япония;Саппоро;Еда;43
Япония;Иокогама;Косплейная;2
Япония;Саппоро;Аниме;34
Япония;Иокогама;Еда;5
Япония;Саппоро;Аниме;6
Япония;Иокогама;Косплейная;78
Япония;Иокогама;Аниме;90
